codigo;numero;descricao
C005;C5;Há quanto tempo está afastado desse trabalho?
C0051;C5; tempo que estava afastado (De 1 mês a menos de 1 ano) 
C0052;C5;tempo que estava afastado (De 1 ano a menos de 2 anos) 
C0053;C5;tempo que estava afastado (de 02 anos a 98 anos) 
C006;C6;Tem mais de um trabalho
C007;C7;No trabalho (único ou principal) que tinha nessa semana, era:
C007A;C7a;Esse trabalho era na área:
C007B;C7b;Tem carteira de trabalho assinada ou é funcionário público estatutário?
C007C;C7c;Que tipo de trabalho, cargo ou função você realiza no seu trabalho (único ou principal)? 
C007D;C7d;Qual é a principal atividade do local ou empresa em que você trabalha? 
C007E;C7e;Na semana passada, quantos empregados trabalhavam nesse negócio/empresa que ... tinha ?
C007E1;C7e;1 a 5 empregados
C007E2;C7e;6 a 10 empregados
C007F;C18;No trabalho (único ou principal) que tinha nessa semana, o(a) Sr(a) estava com o contrato de trabalho suspenso?
C008;C8;Quantas horas, por semana, normalmente trabalhava?
C009;C9;Quantas horas, na semana passada, de fato trabalhou?
C009A;C9a;Na semana passada, o(a) Sr(a) gostaria de ter trabalhado mais horas do que as de fato trabalhadas? 
C010;C10;Quanto recebia (ou retirava) normalmente em todos os seus trabalhos
C0101;C10;Recebia/retirava normalmente em dinheiro
C01011;C10;Número da faixa do rendimento/retirada em dinheiro
C01012;C10;Valor em dinheiro
C0102;C10;Recebia normalmente em produtos e mercadorias
C01021;C10;Número da faixa do rendimento/retirada em produtos e mercadorias
C01022;C10;Valor em produtos e mercadorias
C0103;C10;Recebia normalmente somente em benefícios
C0104;C10;Era não remunerado
C011A;C11A;Quanto recebia (ou retirava) efetivamente em todos os seus trabalhos
C011A1;C11A;Recebia/retirava efetivamente em dinheiro
C011A11;C11A;Número da faixa do rendimento/retirada em dinheiro
C011A12;C11A;Valor em dinheiro
C011A2;C11A;Recebia efetivamente em produtos e mercadorias
C011A21;C11A;Número da faixa do rendimento/retirada em produtos e mercadorias
C011A22;C11A;Valor em produtos e mercadorias
C012;C12;Na maior parte do tempo, na semana passada, esse trabalho (único ou principal) foi exercido no mesmo local em que costuma trabalhar? 
C013;C13;Na semana passada, o(a) Sr(a) estava em trabalho remoto (home office ou teletrabalho)?
C014;C14;O(A) Sr(a) contribui para o INSS?  
C015;C15;Na semana passada ___ tomou alguma providência efetiva para conseguir trabalho?  
C016;C16;Qual o principal motivo de não ter procurado trabalho na semana passada? 
C017A;C17a;Embora você não tenha procurado trabalho, gostaria de ter trabalhado na semana passada?
D0011;D1;Rendimento recebido de aposentadoria e pensão por todos os moradores
D0013;D1;Somatório dos valores recebidos
D0021;D1;Rendimento de pensão alimentícia, doação ou mesada em dinheiro de pessoa que não morava no domicílio
D0023;D1;Somatório dos valores recebidos
D0031;D1;Rendimentos de Programa Bolsa Família
D0033;D1;Somatório dos valores recebidos
D0041;D1; No mês de ... (mês de referência), ... recebeu rendimentos de Benefício Assistencial de Prestação Continuada – BPC-LOAS?
D0043;D1;Somatório dos valores recebidos
D0051;D1;Auxílios emergenciais relacionados ao coronavirus
D0053;D1;Somatório dos valores recebidos
D0061;D1;Seguro desemprego
D0063;D1;Somatório dos valores recebidos
D0071;D1;Outros rendimentos, como aluguel, arrendamento, previdência privada, bolsa de estudos, rendimentos de aplicação financeira etc.
D0073;D1;Somatório dos valores recebidos
E001;E1;Durante o período da pandemia alguém deste domicílio solicitou algum empréstimo?  
E0021;E2;Este empréstimo foi adquirido com banco ou financeira
E0022;E2;Este empréstimo foi adquirido com parente ou amigo
E0023;E2;Este empréstimo foi adquirido com empregados ou patrão
E0024;E2;Este empréstimo foi adquirido com outro local ou pessoa
F001;F1;Este domicílio é: 
F0021;F2;Qual foi o valor mensal do aluguel pago, ou que deveria ter sido pago, no mês de referência?
F0022;F2;Número da faixa do aluguel pago
F002A1;F2a;No seu domicílio há os seguintes itens básicos de limpeza e proteção: sabão ou detergente
F002A2;F2a;No seu domicílio há os seguintes itens básicos de limpeza e proteção: álcool 70% ou superior (gel ou líquido)
F002A3;F2a;No seu domicílio há os seguintes itens básicos de limpeza e proteção: máscaras
F002A4;F2a;No seu domicílio há os seguintes itens básicos de limpeza e proteção: luvas descartáveis
F002A5;F2a;No seu domicílio há os seguintes itens básicos de limpeza e proteção: água sanitária ou desinfetante
F0061;F61;Quem respondeu ao questionário?
F006;F6;Número de ordem do morador que prestou as informações
